Feature_ID	Term_ID	Term_name
14672	mmu04725	Cholinergic synapse
14677	mmu04725	Cholinergic synapse
14678	mmu04725	Cholinergic synapse
14679	mmu04725	Cholinergic synapse
14681	mmu04725	Cholinergic synapse
14682	mmu04725	Cholinergic synapse
14688	mmu04725	Cholinergic synapse
14693	mmu04725	Cholinergic synapse
14695	mmu04725	Cholinergic synapse
14696	mmu04725	Cholinergic synapse
14697	mmu04725	Cholinergic synapse
14699	mmu04725	Cholinergic synapse
14700	mmu04725	Cholinergic synapse
14701	mmu04725	Cholinergic synapse
14702	mmu04725	Cholinergic synapse
14704	mmu04725	Cholinergic synapse
14706	mmu04725	Cholinergic synapse
14707	mmu04725	Cholinergic synapse
14708	mmu04725	Cholinergic synapse
14709	mmu04725	Cholinergic synapse
14710	mmu04725	Cholinergic synapse
15461	mmu04725	Cholinergic synapse
16438	mmu04725	Cholinergic synapse
16439	mmu04725	Cholinergic synapse
16440	mmu04725	Cholinergic synapse
16452	mmu04725	Cholinergic synapse
16515	mmu04725	Cholinergic synapse
16518	mmu04725	Cholinergic synapse
16519	mmu04725	Cholinergic synapse
16520	mmu04725	Cholinergic synapse
16522	mmu04725	Cholinergic synapse
16535	mmu04725	Cholinergic synapse
16536	mmu04725	Cholinergic synapse
16653	mmu04725	Cholinergic synapse
18176	mmu04725	Cholinergic synapse
18706	mmu04725	Cholinergic synapse
18707	mmu04725	Cholinergic synapse
18708	mmu04725	Cholinergic synapse
18709	mmu04725	Cholinergic synapse
18710	mmu04725	Cholinergic synapse
18747	mmu04725	Cholinergic synapse
18749	mmu04725	Cholinergic synapse
18750	mmu04725	Cholinergic synapse
18751	mmu04725	Cholinergic synapse
18752	mmu04725	Cholinergic synapse
18795	mmu04725	Cholinergic synapse
18796	mmu04725	Cholinergic synapse
18797	mmu04725	Cholinergic synapse
18798	mmu04725	Cholinergic synapse
20508	mmu04725	Cholinergic synapse
208647	mmu04725	Cholinergic synapse
208677	mmu04725	Cholinergic synapse
210044	mmu04725	Cholinergic synapse
